Race,Compound,40th Percentile Laps,80th Percentile Laps
Abu Dhabi Grand Prix,HARD,25.0,35.0
Abu Dhabi Grand Prix,MEDIUM,13.0,25.0
Abu Dhabi Grand Prix,SOFT,2.0,25.0
Australian Grand Prix,HARD,22.0,28.0
Australian Grand Prix,MEDIUM,9.0,16.0
Australian Grand Prix,SOFT,6.0,7.0
Austrian Grand Prix,HARD,27.0,31.0
Austrian Grand Prix,MEDIUM,21.0,23.0
Austrian Grand Prix,SOFT,2.0,7.0
Azerbaijan Grand Prix,HARD,36.0,40.0
Azerbaijan Grand Prix,MEDIUM,12.0,16.0
Azerbaijan Grand Prix,SOFT,1.0,2.0
Bahrain Grand Prix,HARD,20.0,24.0
Bahrain Grand Prix,SOFT,12.0,15.0
Belgian Grand Prix,HARD,18.0,24.0
Belgian Grand Prix,MEDIUM,10.0,15.0
Belgian Grand Prix,SOFT,1.0,8.0
British Grand Prix,HARD,14.0,19.0
British Grand Prix,INTERMEDIATE,11.0,12.0
British Grand Prix,MEDIUM,26.0,27.0
British Grand Prix,SOFT,13.0,14.0
Canadian Grand Prix,HARD,17.0,27.0
Canadian Grand Prix,INTERMEDIATE,20.0,25.0
Canadian Grand Prix,MEDIUM,17.0,27.0
Canadian Grand Prix,WET,7.0,12.0
Chinese Grand Prix,HARD,15.0,33.0
Chinese Grand Prix,MEDIUM,14.0,19.0
Chinese Grand Prix,SOFT,9.0,19.0
Dutch Grand Prix,HARD,40.0,44.2
Dutch Grand Prix,MEDIUM,26.200000000000003,30.200000000000003
Dutch Grand Prix,SOFT,18.0,23.0
Emilia Romagna Grand Prix,HARD,34.800000000000004,42.60000000000002
Emilia Romagna Grand Prix,MEDIUM,21.0,29.0
Emilia Romagna Grand Prix,SOFT,7.0,8.0
Hungarian Grand Prix,HARD,28.0,33.2
Hungarian Grand Prix,MEDIUM,18.0,25.0
Hungarian Grand Prix,SOFT,6.0,7.0
Italian Grand Prix,HARD,20.6,34.400000000000006
Italian Grand Prix,MEDIUM,14.0,18.0
Italian Grand Prix,SOFT,2.0,2.0
Japanese Grand Prix,HARD,17.0,27.0
Japanese Grand Prix,MEDIUM,7.0,18.0
Japanese Grand Prix,SOFT,1.0,11.0
Las Vegas Grand Prix,HARD,18.0,23.0
Las Vegas Grand Prix,MEDIUM,10.0,13.200000000000003
Las Vegas Grand Prix,SOFT,4.0,4.0
Mexico City Grand Prix,HARD,41.0,45.0
Mexico City Grand Prix,MEDIUM,26.0,31.0
Mexico City Grand Prix,SOFT,2.0,5.0
Miami Grand Prix,HARD,22.0,35.0
Miami Grand Prix,MEDIUM,1.0,22.0
Miami Grand Prix,SOFT,1.0,17.0
Monaco Grand Prix,HARD,7.0,77.0
Monaco Grand Prix,MEDIUM,1.0,52.0
Monaco Grand Prix,SOFT,7.0,29.0
Qatar Grand Prix,HARD,1.0,12.0
Qatar Grand Prix,MEDIUM,19.0,35.0
Qatar Grand Prix,SOFT,1.0,17.0
Saudi Arabian Grand Prix,HARD,42.6,43.0
Saudi Arabian Grand Prix,MEDIUM,7.0,33.0
Saudi Arabian Grand Prix,SOFT,8.0,14.0
Singapore Grand Prix,HARD,32.0,35.0
Singapore Grand Prix,MEDIUM,28.0,36.0
Singapore Grand Prix,SOFT,10.0,24.0
Spanish Grand Prix,HARD,28.0,30.0
Spanish Grand Prix,MEDIUM,21.0,26.0
Spanish Grand Prix,SOFT,16.0,21.200000000000003
São Paulo Grand Prix,INTERMEDIATE,27.0,37.0
São Paulo Grand Prix,MEDIUM,24.0,24.0
São Paulo Grand Prix,WET,3.6000000000000014,4.200000000000003
United States Grand Prix,HARD,28.200000000000003,37.2
United States Grand Prix,MEDIUM,19.0,26.0
United States Grand Prix,SOFT,4.0,4.0
